Location,Amplitude
"NORTH SPIT, HUMBOLDT BAY, CA",0.22
"MONTEREY, CA",0.61
"MONTEREY, CA",0.03
"MONTEREY, CA",0.04
"MONTEREY, CA",0.05
"MONTEREY, CA",0.08
"MONTEREY, CA",0.05
"MONTEREY, CA",0.1
"MONTEREY, CA",0.15
"MONTEREY, CA",0.05
"MONTEREY, CA",0.36
"MONTEREY, CA",0.7
"MONTEREY, CA",0.14
"MONTEREY, CA",0.04
"MONTEREY, CA",0.11
"MONTEREY, CA",0.08
"MONTEREY, CA",0.07
"LOS ANGELES, CA",0.13
"LOS ANGELES, CA",0.38
"LOS ANGELES, CA",0.76
"LOS ANGELES, CA",0.1
"LOS ANGELES, CA",0.1
"LOS ANGELES, CA",0.1
"LOS ANGELES, CA",0.1
"LOS ANGELES, CA",0.05
"LOS ANGELES, CA",0.05
"LOS ANGELES, CA",0.06
"LOS ANGELES, CA",0.05
"LOS ANGELES, CA",0.05
"LOS ANGELES, CA",0.13
"LOS ANGELES, CA",0.08
"LOS ANGELES, CA",0.11
"LOS ANGELES, CA",0.06
"LOS ANGELES, CA",0.13
"LOS ANGELES, CA",0.42
"LOS ANGELES, CA",0.49
"LOS ANGELES, CA",0.08
"LOS ANGELES, CA",0.08
"LOS ANGELES, CA",0.16
"LOS ANGELES, CA",0.06
"LA JOLLA, CA",0.19
"LA JOLLA, CA",0.3
"LA JOLLA, CA",0.52
"LA JOLLA, CA",0.1
"LA JOLLA, CA",0.1
"LA JOLLA, CA",0.03
"LA JOLLA, CA",0.05
"LA JOLLA, CA",0.06
"LA JOLLA, CA",0.04
"LA JOLLA, CA",0.1
"LA JOLLA, CA",0.6
"LA JOLLA, CA",0.39
"LA JOLLA, CA",0.05
"LA JOLLA, CA",0.06
"LA JOLLA, CA",0.07
"LA JOLLA, CA",0.11
"CRESCENT CITY, CA",0.18
"CRESCENT CITY, CA",0.23
"CRESCENT CITY, CA",0.18
"CRESCENT CITY, CA",0.93
"CRESCENT CITY, CA",0.65
"CRESCENT CITY, CA",1.68
"CRESCENT CITY, CA",0.33
"CRESCENT CITY, CA",0.31
"CRESCENT CITY, CA",0.07
"CRESCENT CITY, CA",0.61
"CRESCENT CITY, CA",0.06
"CRESCENT CITY, CA",0.08
"CRESCENT CITY, CA",0.06
"CRESCENT CITY, CA",0.55
"CRESCENT CITY, CA",0.07
"CRESCENT CITY, CA",0.5
"CRESCENT CITY, CA",0.11
"CRESCENT CITY, CA",0.14
"CRESCENT CITY, CA",0.18
"CRESCENT CITY, CA",0.14
"CRESCENT CITY, CA",0.2
"CRESCENT CITY, CA",0.18
"CRESCENT CITY, CA",0.31
"CRESCENT CITY, CA",0.1
"CRESCENT CITY, CA",0.27
"CRESCENT CITY, CA",0.88
"CRESCENT CITY, CA",0.23
"CRESCENT CITY, CA",0.16
"CRESCENT CITY, CA",0.33
"CRESCENT CITY, CA",0.64
"CRESCENT CITY, CA",2.47
"CRESCENT CITY, CA",0.44
"CRESCENT CITY, CA",0.2
"CRESCENT CITY, CA",0.16
"CRESCENT CITY, CA",0.32
"CRESCENT CITY, CA",0.25
"CRESCENT CITY, CA",0.11
"CRESCENT CITY, CA",0.21
"CRESCENT CITY, CA",0.19
"CRESCENT CITY, CA",0.17
"CRESCENT CITY, CA",0.2
"CHARLESTON, OR",0.09
"CHARLESTON, OR",0.02
"CHARLESTON, OR",0.04
"CHARLESTON, OR",0.03
"CHARLESTON, OR",0.05
"CHARLESTON, OR",0.04
"CHARLESTON, OR",0.19
"CHARLESTON, OR",0.04
"CHARLESTON, OR",0.13
"CHARLESTON, OR",0.16
"CHARLESTON, OR",0.71
"CHARLESTON, OR",0.13
"CHARLESTON, OR",0.06
"CHARLESTON, OR",0.12
"CHARLESTON, OR",0.07
"CHARLESTON, OR",0.07
"ARENA COVE, CA",0.12
"ARENA COVE, CA",0.14
"ARENA COVE, CA",0.07
"ARENA COVE, CA",0.04
